call_number,category,date_acquired,title,id,author,correction_date,correction_source
DS62.23 .P45 2016,Ancient Western Asia,,"People on the move: framework, means, and impact of mobility across the Eastern Mediterranean region in the 8th to 6th century BCE",,,,
P1035 .C5 1968,European and Classical Antiquity,,The decipherment of linear B,,,,
CJ833 .S4 1964,European and Classical Antiquity,,Roman coins and their values,,,,
DR239.2 .N55 1987,European and Classical Antiquity,,Северные фракийцы в VI-I вв,,,,
ND2850.T87 G363 1995,"China, South Asia, & East Asia",,高昌壁画辑佚,,,,
HD9866.M628 G37 2018,Ancient Western Asia,,Textiles in the neo-Assyrian empire: a study of terminology,,,,
BR65.T853 A34 2015,Ancient Western Asia,,Contre les manichéens,,,,
BX172 .B37 2015,Ancient Western Asia,,The ecclesiastical chronicle: an English translation,,,,
DS66 .D39 2016,Ancient Western Asia,,Da Kussara a Karkemish: storia del regno ittita,,,,
DS797.48.X53 W366 2016,"China, South Asia, & East Asia",,襄阳考古探研,,,,
DS65 .P68 2016,Ancient Western Asia,,The Archaeology of Elam: Formation and Transformation of an Ancient Iranian State,,,,
GN780.R9 P5 1967,The Caucasus & The Western Steppe,,Эпоха раннего железа в Дагестане,,,,
DK34.B3 D74 2015,The Caucasus & The Western Steppe,,"Древние святилища: археология, ритуал, мифология: Бурзянский район Республики Башкортостан (17-20 иня 2015 года) = Ancient sanctuaries : Archaeology, ritual, mythology; The Burzyan district of the Republic of Bachkortostan, 17-20, June 2015",,,,
PJ1559 .B42 1995,Egypt & North Africa,,"De Papyrus Denon in het Museum Meermanno-Westreenianum, Den Haag, of, Het Boek van het ademen van Isis",,,,
GN799.P6 M355 2016,European and Classical Antiquity,,Maritime transport containers in the Bronze-Iron Age Aegean and Eastern Mediterranean,,,,
ND1046.T77 Y836 2016,"China, South Asia, & East Asia",,敦煌藏经洞出土绘画品研究史,,,,
BX1803 .H64 2000,Egypt & North Africa,,Kirchliche Strukturen und römisches Recht bei Cyprian von Karthago,,,,
DS57 .D66 2000,Ancient Western Asia,,Donum natalicium: studi presentati a Claudio Saporetti in occasione del suo 60,,,,
NK1676 .F35 1988,"China, South Asia, & East Asia",,法門寺地宮珍宝= Precious cultural relics in the crypt of Famen Temple,,,,
DA690.M7154 B85 2006,European and Classical Antiquity,,"Becoming Roman: excavation of a late Iron Age to Romano-British landscape at Monkston Park, Milton Keyes",,,,
DR1 .S82 t.1 (2010)-t.6 (2014),European and Classical Antiquity,,"Studia classica serdicensia, t",,,,
NK8473.C6 S57 1977,"China, South Asia, & East Asia",,"Early Chinese miniatures: [exhibition] March 16 through May 29, 1977, China House Gallery/China Institute in America",,,,
CB353 .W5 1964 Non-circulating,Cross-Cultural Studies & Other,2012-09-07T00:00:00.000000,Medieval technology and social change /,,,,
GN778.22.S65 Z42 1988,Central Asia & Siberia,,Бронзовый век Урало-Казахстанских степей: основы периодизации,,,,
GN855.I4 A468 1982 Non-circulating,"China, South Asia, & East Asia",2009-06-30T00:00:00.000000,The archaeology of India /,,,,
U35 .R655 2001,European and Classical Antiquity,,Roman military studies,,,,
PJ1661.B53 P37 2016,Egypt & North Africa,,Papyrus de la Sorbonne: (P,,,,
DS554.98.A5 P37 1954,"China, South Asia, & East Asia",,Henri Parmentier's Guide to Angkor,,,,
PA4496.F8 A6376,European and Classical Antiquity,,"L'Anabase, ou, L'expédition des dix-mille",,,,
DT60 .B373 2008,Egypt & North Africa,,An introduction to the archaeology of ancient Egypt,,,,
PJ1531 .R3 1922a,Egypt & North Africa,,Der demotische Text der Priesterdekrete von Kanopus und Memphis (Rosettana): mit den hieroglyphischen und griechischen Fassungen und deutscher Übersetzung nebst demotischem Glossar,,,,
GN776.32.I73 S64 1981,Ancient Western Asia,,An early village site at Zawi Chemi Shanidar,,,,
DS181 .B87 1972,The Caucasus & The Western Steppe,,The peoples of the hills: ancient Ararat and Caucasus,,,,
DK771.T93 N68 1980,Central Asia & Siberia,,Новейшие исследования пo археологии Tувы и этногенезу Tувинцев,,,,
DK508.9.B57 S55 1986,The Caucasus & The Western Steppe,,Скифские погребальные памятники степей Северного Причерноморья,,,,
DA155 .T46 2016,European and Classical Antiquity,,Le témoignage de la culture matérielle: mélanges offerts au professeur Vera Evison = The evidence of material culture : studies in honour of Professor Vera Evison,,,,
NK7983 .E76 1977,"China, South Asia, & East Asia",,"Ancient Chinese bronze vessels, gilt bronzes, and sculptures: two private collections, one formerly part of the Minkenhof collection",,,,
N7283 .V74 1969,Ancient Western Asia,,"Искусство и археология Ирана: Всесоюзная конференция, 1969 г",,,,
PA3306 .G4 1967,Egypt & North Africa,,Les papyrus de Genève,,,,
GV573 .D42 1987,Egypt & North Africa,,Sport und Spiel im Alten Ägypten,,,,
DK511.C2 M33,The Caucasus & The Western Steppe,,Материалы и исследования по археологии Северного Кавказа,,,,
DS70.5.N9 S88 v.13 2003,Ancient Western Asia,,Die Personennamen der Texte aus Emar,,,,
DS70.5.B3 B43 2018,Ancient Western Asia,,"A history of Babylon, 2200 BC-AD 75",,,,
DK651.B523 A57 1979,The Caucasus & The Western Steppe,,Античная Тира и средневековый Белгород: Сборник научных трудов,,,,
GN855.S33 C66 1971 Non-circulating,Ancient Western Asia,2010-01-28T00:00:00.000000,Contributions to the anthropology of Saudi Arabia /,,,,
NB1912.A92 D39 2015,"China, South Asia, & East Asia",,"大足石刻千手观音造像抢救性保护工程前期研究, v",,,,
N7342 .N45 2011,"China, South Asia, & East Asia",,Masterworks of Chinese art: the Nelson-Atkins Museum of Art,,,,
P950 .B69 2009 Bd.1,Ancient Western Asia,,Sammlung hieroglyphischer Siegel,,,,
DK30 .A1733,The Caucasus & The Western Steppe,,"Советская археология, 1987",,,,
U805 .E734 2016,"China, South Asia, & East Asia",,Монголын эртний нүүдэлчдийн зэр зэвсэг: (НТӨ II мянган жил - НТӨ III зуун),,,,
PJ1526.I33 I57 Suppl.:Heft 1 1990,Egypt & North Africa,,"Edfu: Studien zu Ikonographie, Textgestaltung, Schriftsystem, Grammatik und Baugeschichte",,,,
NK7983.2 .L55 2015,"China, South Asia, & East Asia",,中国古代美术经典图式,,,,
DS73.2 .S76 1976,Egypt & North Africa,,Studies in Old Babylonian history,,,,
DK511.A7 D74 1977,The Caucasus & The Western Steppe,,Древности Астраханского края: сборник,,,,
DS121.3 .N33 2005,Ancient Western Asia,,"Ancient Israel and its neighbors: interaction and counteraction: collected essays, v",,,,
DS793.H612 X53 2015,"China, South Asia, & East Asia",,淅川新四队墓地= Tombs of Xin Sidui in Xi Chuan,,,,
NK4399.R8 M464 2016,"China, South Asia, & East Asia",,玉松话汝瓷,,,,
PA3009 .M67 2018,European and Classical Antiquity,,Classics: why it matters,,,,
CC79.5.A5 I585 2006,Egypt & North Africa,,"Archaeozoology of the Near East VIII: actes des huitièmes Rencontres internationales d'archéozoologie de l'Asie du sud-ouest et des régions adjacentes, Lyon, 28 juin-1er juillet 2006 = proceedings of the eighth international symposium on the archaeozoology of southwestern Asia and adjacent arreas, Lyon, June 28-July 1, 2006, t",,,,
QB41 .P89 1898,European and Classical Antiquity,,"Opera quae exstant omnia, v",,,,
BF1714.A86 A87 1992,Ancient Western Asia,,Astrological reports to Assyrian kings,,,,
CC165 .Z46 2010,"China, South Asia, & East Asia",,近百年古城古墓發掘史,,,,
PJ1526.I33 I57 Abt.2 Bd.2,Egypt & North Africa,,Edfu: neue Graffiti und Ritualszenen des Tempels von Edfu,,,,
DK508.9.B57 D62 1982,Central Asia & Siberia,,Kaмeнные бабы Причемноморских степей: коллекция из Aскании-Нoвa,,,,
NB1912.B83 L45 2016,"China, South Asia, & East Asia",,川北佛教石窟和摩崖造像研究,,,,
DJK23 .A74 1979,The Caucasus & The Western Steppe,,Археология восточно-европейской лесостепи: [межвузовский сборник],,,,
CC75.7 .B73 1978a Non-circulating,Cross-Cultural Studies & Other,2011-03-30T00:00:00.000000,On the analysis of spatial relations in archaeology /,,,,
PJ4054.U7 L43 2013,Ancient Western Asia,,Archaic tablets and fragments from Ur (ATFU): from L,,,,
NK1069.S52 S45 1992,"China, South Asia, & East Asia",,陕西珍貴文物,,,,
DK851 .E87 1979,Central Asia & Siberia,,Этнография и археология Средней Азии: [Сб,,,,
N5604.S65 M65 1983,Central Asia & Siberia,,"Kультурa и искусство Причерноморья в aнтичную эпоху: выставка из собраний музеев Бoлгарии, Румынии и Сoветского Сoюзa: кaтaлог выставки",,,,
DS797.68.X536 H332 1999,"China, South Asia, & East Asia",,西安龍首原漢墓,,,,
N7342 .S483 1991,"China, South Asia, & East Asia",,山东省博物馆藏品选,,,,
"PJ2199 .C5 1972 introd., codex 1-11-13 & cartonnage",Egypt & North Africa,,The Facsimile edition of the Nag Hammadi codices,,,,
GN799.P4 T73 2016,"China, South Asia, & East Asia",,Далан Түргэний Хос Толгойн хадны зураг,,,,
NK1071.A5 S52 1965,"China, South Asia, & East Asia",,Treasures of the Shosoin,,,,
PA3308 .H2 1973,Egypt & North Africa,,Griechische Papyrusurkunden der Hamburger Staats- und Universitätsbibliothek,,,,
PL2448 .Z485 1995,"China, South Asia, & East Asia",,商代金文圖錄:三千年前中國文字特展=A catalogue of Shang dynasty bronze inscriptions: ancient Chinese from the 1st millenium B,,,,
DF234 .A7735,European and Classical Antiquity,,The life of Alexander the Great,,,,
DK508.9.K78 L38 2010,The Caucasus & The Western Steppe,,Маслины - античное поселение в Северо-Западном Крыму: статьи и воспоминания,,,,
GN799.T6 P48 2003,The Caucasus & The Western Steppe,,Петербургская трaсoлогическая школа и изучение древних культур: В чeсть юбилея Г,,,,
DS156.Z48 Z47 2005 v.6,Ancient Western Asia,,"Zeugma VI:La Syrie romaine, permanences et transferts culturels",,,,
NK3634.Z6 B45 2000,"China, South Asia, & East Asia",,北魏人书佛说佛藏经,,,,
DS56 .R46 1993b,Ancient Western Asia,2025-12-08,"Houses and households in Ancient Mesopotamia : programme and abstracts (cooṕeration, list of participants).",,,,
DS485.K465 K47 2020,"China, South Asia, & East Asia",2025-12-08,Kerala archaeological series.,,,,
N7342 .E85 1993,"China, South Asia, & East Asia",,Early Chinese art from tombs and temples=中國文物珍寳展:8 June-9 July 1993,,,,
GN778.22.S59 S48 1982,The Caucasus & The Western Steppe,,Степное Поднепровье в эпоху поздней бронзы,,,,
N7307.P4 B8714,Central Asia & Siberia,,L'Art du Gandhāra,,,,
DA690.S816 L36 2004,European and Classical Antiquity,,"Gravelly Guy, Stanton Harcourt: the development of a prehistoric and Romano-British community",,,,
DS392.2.H3 V38 1974 Non-circulating,Central Asia & Siberia,2009-06-25T00:00:00.000000,Excavations at Harappā :,,,,
BL1620 .L56 1998,Ancient Western Asia,,"A reconstruction of the Assyro-Babylonian god-lists, AN:dA-nu-um and AN:Anu ŝá amēli",,,,
DS57 .O97 2013,Ancient Western Asia,,"Our work: modern jobs, ancient origins",,,,
QB41 .M55 1990,European and Classical Antiquity,,"Théodore Méliténiote, ""Tribiblos Astronomique"", v",,,,
CC76.3 .P46 2018,Cross-Cultural Studies & Other,,People in the mountains: current approaches to the archaeology of mountainous landscapes,,,,
DS329.4 .F78 1996 Non-circulating,Central Asia & Siberia,2012-08-03T00:00:00.000000,The heritage of Central Asia from antiquity to the Turkish expansion /,,,,
Z3029.A8 M9452 2014,Ancient Western Asia,,Südarabien im Altertum: kommentierte Bibliographie der Jahre 1997 bis 2011,,,,
ND1457.C56 L5325,"China, South Asia, & East Asia",,Li Kung-lin's Classic of filial piety,,,,
BR238 .G4 1973,European and Classical Antiquity,,Byzantine iconoclasm during the reign of Leo III: with particular attention to the oriental sources,,,,
GN855.T83 A95 2017,Ancient Western Asia,,Bakla Tepe geç tunç çagi mezarlari = Late Bronze Age graves of Bakla Tepe,,,,
DS486.A463 K43 1996,"China, South Asia, & East Asia",,Ajanta & Ellora,,,,
D57 .C25 1970,Cross-Cultural Studies & Other,,"The Cambridge ancient history, v",,,,
DS747.42 .C43 1989,"China, South Asia, & East Asia",,嘉峪关魏晋墓彩绘砖画浅识,,,,
DF261.T6 Z55 1971,European and Classical Antiquity,,Возникновение государства у фракийцев VII-V вв,,,,
PJ3791 .B67 2016,Ancient Western Asia,,"Infant weeping in Akkadian, Hebrew, and Greek literature",,,,
DS70.5.A7 W47 2016,Ancient Western Asia,,Der Anu-Adad-Tempel in Assur,,,,
DS51.E27 S62 1987,Ancient Western Asia,,"Eastern Turkey: an architectural and archaeological survey, v",,,,
BT1425 .M66 1994,Ancient Western Asia,,Monophysite texts of the sixth century,,,,
DS567 .H54 1998,"China, South Asia, & East Asia",,Prehistoric Thailand: from early settlement to Sukhothai,,,,
GN799.P4 M68 2016,"China, South Asia, & East Asia",,贵州贞丰红岩岩画研究,,,,
P945.A2 S69 2015,Ancient Western Asia,,Unpublished Bo-fragments in transliteration I (Bo 9536 - Bo 9736),,,,
U821.M65 K48 2011,"China, South Asia, & East Asia",,Военное дело древних кочевников Монголии: (II тысячелетие--III век до н,,,,
NK7106.4.S38 S35 2001,The Caucasus & The Western Steppe,,La redécouverte de l'or des Scythes: histoires de kourganes,,,,
DK771.T93 C48 1997,Central Asia & Siberia,,"Цeнтральная Aзия и скифы, t",,,,
NA5870.K26 K37 1997,European and Classical Antiquity,,"Kalenderhane in Istanbul: the buildings, their history, architecture, and decoration : final reports on the archaeological exploration and restoration at Kalenderhane Camii, 1966-1978, v",,,,
DE5 .N4 1962. From the library of David I. Owen,European and Classical Antiquity,,The New Century classical handbook,,,,
BL2270 .G54 2001,Ancient Western Asia,,Man and cosmos in ancient Iran,,,,
DK511.K13 A74 1984,The Caucasus & The Western Steppe,,"Археологические исследования нa нoвoстройках Kaбaрдинo-Бaлкарии в 1972-1979 гг, t",,,,
CC175 .E83 1984,Cross-Cultural Studies & Other,,Ethics and values in archaeology,,,,
NB1043.3 .W35 1957,"China, South Asia, & East Asia",,唐代雕塑選集,,,,
DG77 .H325 2016,European and Classical Antiquity,,"An urban geography of the Roman world, 100 BC to AD 300",,,,
B125 .C45 1969,"China, South Asia, & East Asia",,A source book in Chinese philosophy,,,,
PJ3835 .R87 1999,Ancient Western Asia,,The writing on the wall: studies in the architectural context of late Assyrian palace inscriptions,,,,
DS156.M97 E55 2016,Ancient Western Asia,,L'Éolide dans l'ombre de Pergame,,,,
P958 .C36 2015,Ancient Western Asia,,Mood and modality in Hurrian,,,,
BS1335.2 .D4 1967,Ancient Western Asia,,Die Sünde Jerobeams: Studien zur Darstellung Jerobeams und der Geschichte des Nordreichs in der deuteronomistischen Geschichtsschreibung,,,,
BF1762 .W56 2017,Ancient Western Asia,,Early Mesopotamian divination literature: its organizational framework and generative and paradigmatic characteristics,,,,
NA5871.K32 T45 1978,Ancient Western Asia,,La Cathédrale des Saints-Apôtres de Kars: 930-943,,,,
GN799.P4 R47 fasc. 1-7,Central Asia & Siberia,,"Répertoire des pétroglyphes d'Asie centrale, fasc",,,,
DA670.G5 C54 2006,European and Classical Antiquity,,"Excavations on the Wormington to Tirley pipeline, 2000: four sites by the Carrant Brook and River Isbourne, Gloucestershire and Worcestershire",,,,
PJ1670 .E4 1975,Egypt & North Africa,,"Die Felsgräbernekropole der Qubbet el Hawa bei Assuan, Abt",,,,
BS1700 .S792 1982,The Caucasus & The Western Steppe,,An analytical index of Armenian apocrypha relating to the patriarchs and prophets,,,,
DS54.3 .K537 2024,Ancient Western Asia,2025-12-15,Cyprus and Ugarit : connecting material and mercantile worlds /,,,,
N5750 .L38 1972,European and Classical Antiquity,,Kультурa и искусствo Eтруссии: кaтaлoг выставки,,,,
GT3283.A2 L53 2003,"China, South Asia, & East Asia",,汉代丧葬礼俗=Funeral custum[i,,,,
N7311 .B44 1986,"China, South Asia, & East Asia",,L'art du sud-est Asiatique,,,,
DG223 .V56 1990,European and Classical Antiquity,,"Этруски и Средиземноморье: материалы Mеждународного коллоквиума, 9-11 aпреля 1990 года, Moсквa",,,,
NB1305.T9 I48 1965,Egypt & North Africa,,Antalya bölgesi Roma devri portreleri = Römische Porträts aus dem Gebiet von Antalya,,,,
DK651.I66 K67 2007,The Caucasus & The Western Steppe,,Большой Ипатовский курган на Ставрополье как археологический источник по эпохе бронзового века на степной границе Восточной Европы и Кавказа =The Big Ipatovo kurgan in Stavropol Region as an archaeological source of the Bronze age on the steppe boundery [sic] of East Europe and the Caucasus,,,,
DT92 .C53 2006 v.1-2,Egypt & North Africa,,Counting the people in Hellenistic Egypt,,,,
BT736.2 .I57 2013,Ancient Western Asia,,"Early Christian attitudes to war, violence and military service",,,,
PL2448 .S544 2016,"China, South Asia, & East Asia",,"陕西金文集成, v",,,,
N5888.A54 G66 1998,Egypt & North Africa,,La gloire d'Alexandrie: 7 mai-26 juillet 1998,,,,
HC34 .S55 2016,Cross-Cultural Studies & Other,,"Silver, money and credit: a tribute to Robartus J",,,,
BF1778 .W36 2011,"China, South Asia, & East Asia",,冥土安魂:中国古代墓葬吉祥文化研究,,,,
G2308.H3E15 C5 2015,"China, South Asia, & East Asia",,中国文物地图集:黑龙江分册,,,,
HF3750.7 .T73 2015,Cross-Cultural Studies & Other,,Traders in the ancient mediterranean,,,,
G155.C5 G368 2000,"China, South Asia, & East Asia",,甘肃省旅游招商项母=The Projects for Investment and Cooperation in Tourism of Gansu Province,,,,
NK7983.A1 S536 2013,"China, South Asia, & East Asia",,Ancient Chinese bronzes: a personal appreciation,,,,
DS797.52.C434 C475 1992,"China, South Asia, & East Asia",,"Chine antique: voyage de l'ame : trésors archéologiques de la province du Hunan, XIIIe siècle avant J",,,,
R126 .D652 2017,European and Classical Antiquity,,De materia medica,,,,
GN635.I4 T5 1906,"China, South Asia, & East Asia",,Ethnographic notes in southern India,,,,
QK378 .F34 1986,Ancient Western Asia,,Wood anatomy and identification of trees and shrubs from Israel and adjacent regions,,,,
GN58.E83 C63 1939. From the Library of Nina Garsoïan; inscribed by the author,Ancient Western Asia,,Tribus moutonnières du Moyen-Euphrate,,,,
DK511.V65 K828 2014,Central Asia & Siberia,,Kурганный moгильник Пeрeгрузное I: результаты мeждисциплинарных исследований: мoнoгрaфия,,,,
DS338 .S67 1992 Non-circulating,"China, South Asia, & East Asia",2009-06-02T00:00:00.000000,South Asian archaeology studies /,,,,
DS328 .S75 1988 Non-circulating,Central Asia & Siberia,2013-07-31T00:00:00.000000,Sir Aurel Stein's Central Asia :,,,,
DK508.95.S67 M36 1987,The Caucasus & The Western Steppe,,Курган Солоха,,,,
DS715 .W256 2016,"China, South Asia, & East Asia",,半窗意象:图像与考古研究自选集,,,,
CC100 .D262 1950 Non-circulating,Cross-Cultural Studies & Other,2014-03-21T00:00:00.000000,A hundred years of archaeology /,,,,
DK757 .A745 1982,Central Asia & Siberia,,Археология Северной Азии,,,,
DS110.S247 T455 2012,Ancient Western Asia,,"Tell es-Safi/Gath: the 1996-2005 seasons, v",,,,
BL2443 .S28 1988,Egypt & North Africa,,Les prêtres de l'ancienne Egypte,,,,
DS70.7 .S36 2017,Ancient Western Asia,,"Segni: prima dell'alfabeto : viaggio in Mesopotamia alle orgini della scrittura : Venezia, Palazzo Loredan, Campo Santo Stefano, 20 gennaio 2017-25 aprile 2017",,,,
DS81 .T72 2016,Ancient Western Asia,,"Transformations and crisis in the Mediterranean: ""identity"" and interculturality in the Levant and Phoenician West during the 8th-5th centuries BCE",,,,
NK7156.A1 M892 1984,The Caucasus & The Western Steppe,,Музей історичних коштовностей УРСР: фотоалʹбом = Museum of Historic Treasures of the UkrSSR = Muzeĭ istoricheskikh dragot͡sennosteǐ USSR,,,,
CC75 .S33 1969 Non-circulating,Cross-Cultural Studies & Other,2012-04-13T00:00:00.000000,Science in archaeology :,,,,
DK758 .A4813 1964 Non-circulating,Central Asia & Siberia,2012-09-27T00:00:00.000000,The peoples of Siberia /,,,,
NK7983 .L627 1940,"China, South Asia, & East Asia",,An exhibition of ancient Chinese ritual bronzes,,,,
BX385.B9 B95 2000,Ancient Western Asia,,"Byzantine monastic foundation documents: a complete translation of the surviving founders' typika and testaments, v",,,,
DK511.G44 M3617 1982,The Caucasus & The Western Steppe,,Летопись Картли,,,,
DS72 .C55 2017,Ancient Western Asia,,Studies in Sumerian civilization: selected writings of Miguel Civil,,,,
DS735 .E673 1997,"China, South Asia, & East Asia",,"二十四史, v",,,,
P945 .G55 2015,Ancient Western Asia,,Formen und Inhalte althethitischer historischer Literatur,,,,
BR195.M65 G849 1979,Egypt & North Africa,,Aux origines du monachisme chrétien: pour une phénoménologie du monachisme,,,,
NK1068 .S596 1995,"China, South Asia, & East Asia",,Traders and raiders on China's northern frontier,,,,
DS485.D25 K85 2016,"China, South Asia, & East Asia",,The early history of Southern Deccan: (3rd c,,,,
PJ3251 .M37 1978,Ancient Western Asia,,A manual of Akkadian,,,,
P945.Z8 G76 2002,Ancient Western Asia,,Konkordanz zu den Grabungsnummern,,,,
DS327.5 .P38 2012 Non-circulating,Central Asia & Siberia,2014-08-14T00:00:00.000000,Zentralasien /,,,,
DK511.D2 D73 1980,The Caucasus & The Western Steppe,,Древние и средневековые археологические памятники Дагестана: тематический сборник,,,,
CJ668 .W5 1970,Central Asia & Siberia,,Indo-Greek numismatics,,,,
GN778.R9 T4 1963,The Caucasus & The Western Steppe,,"К истории изучения памятников эпохи энеолита и бронзы в нижнем течении реки Большой Лиахви: ""III"" [-] 1 тысячелетие до н",,,,
DT59.N733 B76 2008,Egypt & North Africa,,To live forever: Egyptian treasures from the Brooklyn Museum,,,,
DT57 .E59 no.49 (2016:fall),Egypt & North Africa,,"Egyptian archaeology,no",,,,
DK509 .R83 1922 Non-circulating,The Caucasus & The Western Steppe,2007-08-28T00:00:00.000000,Iranians & Greeks in south Russia /,,,,
NK7983.A3 Z46 1964,"China, South Asia, & East Asia",,古器物硏究專刊,,,,
DK511.V65 I86 2014,Central Asia & Siberia,,Итоги археологических исследований в Самарской области в 2013 году: материалы научных экспедиций,,,,
DK508.9.B57 O34 1993,The Caucasus & The Western Steppe,,Древнее причерноморье: Краткие сообщения Одесского Археологического Общества,,,,
PJ3065 .A48 2002,Ancient Western Asia,,Altorientalische und semitische Onomastik,,,,
NB92 .J465 2007,European and Classical Antiquity,,The Parthenon sculptures in the British Museum,,,,
DK511.U7 M57 2013,Central Asia & Siberia,,Mир кoчeвников: из aрхеологических коллекций Государственного Эрмитажa: кaтaлог выставки,,,,
NB1046.T3 L54 1995,"China, South Asia, & East Asia",,大足石刻=Dazu rock carvings,,,,
CC79.5.A5 I56 2002,Cross-Cultural Studies & Other,,The future from the past: archaeozoology in wildlife conservation and heritage management,,,,
DK651.R7 S26 2007,The Caucasus & The Western Steppe,,Конюшенный раскоп в Ростове Великом,,,,
DK939.5.E45 L48 2001,Central Asia & Siberia,,Древнехорезмийский памятник-Елхарас,,,,
DK508.9.K78 S627 2014,Central Asia & Siberia,,Археологические атласы Северного Причерноморья: атлас позднескифских городищ предгорного Крыма= Archaeological atlases of the Northern Black Sea Shore: atlas of late Scythian fortresses in the Crimean foothills,,,,
PL2478 .G4 1967,"China, South Asia, & East Asia",,"Li chi: book of rites: an encyclopedia of ancient ceremonial usages, religious creeds, and social institutions, v",,,,
CJ691 .H33 2007,Ancient Western Asia,,Catalogue of Elymaean coinage: ca,,,,
PJ4054.G5 T3 1989,Ancient Western Asia,,"Tablettes cunéiformes de Tello au Musée d'Istanbul, datant de l'époque de la IIIe dynastie d'Ur = İstanbul Arkeoloji Müseleri'ndeki Tello tabletleri, ""III",,,,
NK1127.5 .W36 2013,"China, South Asia, & East Asia",,万俐文集,,,,
CC135 .C58 1975 Non-circulating,Cross-Cultural Studies & Other,2011-03-25T00:00:00.000000,Conservation in archaeology and the applied arts /,,,,
BL1640 .F55 2000,Ancient Western Asia,,Time at Emar: the cultic calendar and the rituals from the diviner's archive,,,,
PJ3591 .A2 1998 Oversize,Ancient Western Asia,,Kappadokische Keilschrifttafeln aus den Sammlungen der Karlsuniversität Prag,,,,
PJ5215 .N44 2018,Ancient Western Asia,,"Arbeitsbuch Biblisch-Aramäisch: Materialien, Beispiele und Übungen zum Biblisch-Aramäisch",,,,
DK34.C56 I945 1996,The Caucasus & The Western Steppe,,Киммерийцы: древневосточные цивилизации и степные кочевники в ВИИИ-ВИИ веках до н,,,,
R135 .J68 no.6 (2005) & no.15 (2010)-26 (2015),Ancient Western Asia,,"Le journal des médecines cunéiformes, no",,,,
ND1043.3 .C3 1980,"China, South Asia, & East Asia",,"An index of early Chinese painters and paintings: Tʻang, Sung, and Yüan",,,,
UG429.R8 M45 1969,The Caucasus & The Western Steppe,,Kрепости дoфеодальной и раннефеодальной Грузии,,,,
NK3634 .A2 S36 1996,"China, South Asia, & East Asia",,上海博物館中國歷代書法館=Shanghai Museum Chinese Calligraphy Gallery,,,,
PA3317.A2 C373 1982,Egypt & North Africa,,Trattato etico epicureo (PHerc,,,,
DS154.22 .R63 2015,Ancient Western Asia,,Pétra et les Nabatéens,,,,
NA1197.K5 A77 1982,The Caucasus & The Western Steppe,,Архитектура древнего Киева,,,,
DK511.G4 K3 1967,The Caucasus & The Western Steppe,,Грузинские документы Института народов Азии АН СССР,,,,
DS534 .D73 1905,"China, South Asia, & East Asia",,L'Indo-Chine française (souvenirs),,,,
PA3423 .P6 1970 Suppl. Bd.1:T-12 & Bd.2,Egypt & North Africa,,Supplementum Hellenisticum,,,,
N5899.S3 P45 1994,The Caucasus & The Western Steppe,,Язык звериных образов: очерки искусства евразийских степей скифской эпохи,,,,
CN450.N84 L35 2017,Egypt & North Africa,,Empowering the dead in Christian Nubia: the texts from a medieval funerary complex in Dongola,,,,
GN824.E43 S61 1971,The Caucasus & The Western Steppe,,Элистинский курганный могильник: (по раскопкам 1964 года),,,,
DS284.9 .W54 1999,Ancient Western Asia,,The Seleucids: the decline and fall of their empire,,,,
N5630 .M28 2017,European and Classical Antiquity,,The art of contact: comparative approaches to Greek and Phoenician art,,,,
PL2448 .S845 2016,"China, South Asia, & East Asia",,安徽商周金文彙編=Anhui ShangZhou jinwen huibian,,,,
GN778.R9 B32 1970,The Caucasus & The Western Steppe,,Бaссейн Oки у эпоху бронзы,,,,
PJ4150.Z5 O4613 2015b pt.1-2,Ancient Western Asia,,A dictionary of the Ugaritic language in the alphabetic tradition,,,,
CC75 .D525 1977 Non-circulating,Cross-Cultural Studies & Other,2012-07-31T00:00:00.000000,Ecology and archaeology /,,,,
DS325.M28 A843 2013,Ancient Western Asia,,پژوهش‌هاىدورههخمنشىوفراهخمنشىمنطقهغربوشمالغربفارس(ممسنى),,,,
N3750.S45 S44 1996,"China, South Asia, & East Asia",,上海博物館中國歷代璽印館=Shanghai Museum Chinese Seal Gallery,,,,
KL4707 .F754 1971,Ancient Western Asia,,"Die Hethitischen Gesetze: Transkription, Übersetzung, sprachliche Erläuterungen und vollständiges Wörterverzeichnis",,,,
ND2849.K37 K36 1997,"China, South Asia, & East Asia",,甘肃石窟艺术壁画编=Gansu grottoes art--frescoes,,,,
UE107 .F37 2005,Ancient Western Asia,,Sassanian elite cavalry AD 224-642,,,,
CN1160 .L868 2016,"China, South Asia, & East Asia",,新出魏晋南北朝墓志疏證,,,,
DS51.M35 O55 2016,Ancient Western Asia,,Amphorae in the eastern Mediterranean,,,,
PL2448 .Q26 2016,"China, South Asia, & East Asia",,清华简与先秦经学文献研究,,,,
BX106.2 .I57 1993,Ancient Western Asia,,"The Christian East, its institutions & its thought: a critical reflection : papers of the International Scholary [sic] Congress for the 75th Anniversary of the Pontifical Oriental Institute, Rome, 30 May-5 June 1993",,,,
DK511.M28 P374 1982,The Caucasus & The Western Steppe,,Волжские ананьинцы: Старший Ахмыловский могильник,,,,
NK8883.Z34 X56 2016,"China, South Asia, & East Asia",,扎滚鲁克纺织品珍宝 =Textile treasures of Zaghunluq,,,,
